modelo,n_clusters,n_ruido,silhouette,davies_bouldin,calinski_harabasz
Agglomerative,2,0,0.4033264863546757,0.45818466230463695,4.381493610009202
KMeans,2,0,0.1138672167926445,3.1250358152331055,81.52100858774044
DBSCAN,1,168,,,
